movie_name,released_Year,runtime,Certificate,rating,vote_count,meta_score,director
Faces,1968,2h 10m,R,7.4,12K,88,John Cassavetes
Monsieur Verdoux,1947,2h 4m,Approved,7.8,20K,,Charles Chaplin
Werckmeister Harmonies,2000,2h 25m,Not Rated,8.0,17K,93,Béla Tarr
A Separation,2011,1h 58m,PG-13,8.3,266K,95,Asghar Farhadi
Videodrome,1983,1h 27m,R,7.2,107K,58,David Cronenberg
The Executioner,1963,1h 30m,Not Rated,7.9,7.6K,,Luis García Berlanga
All That Jazz,1979,2h 3m,R,7.8,37K,72,Bob Fosse
City of God,2002,2h 10m,R,8.6,825K,79,Fernando Meirelles
Kings of the Road,1976,2h 55m,Not Rated,7.6,6.7K,,Wim Wenders
Lola Montès,1955,1h 56m,Not Rated,7.2,6.2K,,Max Ophüls
Freaks,1932,1h 4m,Not Rated,7.8,52K,80,Tod Browning
Cabaret,1972,2h 4m,PG,7.8,61K,80,Bob Fosse
The World of Apu,1959,1h 45m,Not Rated,8.4,17K,,Satyajit Ray
Melancholia,2011,2h 15m,R,7.1,200K,81,Lars von Trier
Beauty and the Beast,1946,1h 33m,Not Rated,7.9,29K,92,Jean Cocteau
I Am Cuba,1964,2h 21m,Not Rated,8.2,11K,91,Mikhail Kalatozov
Berlin Alexanderplatz,1980,,,8.4,5K,,Günter Lamprecht
A Canterbury Tale,1944,2h 4m,Not Rated,7.3,6.8K,85,Michael Powell
The Young Girls of Rochefort,1967,2h 5m,G,7.7,13K,,Jacques Demy
Husbands,1970,2h 34m,PG-13,7.1,7.6K,66,John Cassavetes
Thirst,1957,2h 26m,Not Rated,8.3,7.6K,,Guru Dutt
The Philadelphia Story,1940,1h 52m,Approved,7.8,75K,96,George Cukor
In the Realm of the Senses,1976,1h 49m,NC-17,6.6,24K,,Nagisa Ôshima
The Kid,1921,1h 8m,Passed,8.2,139K,,Charles Chaplin
Underground,1995,2h 47m,Not Rated,8.0,62K,79,Emir Kusturica
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,8.7,1.4M,82,Irvin Kershner
Broken Blossoms,1919,1h 30m,Not Rated,7.2,11K,,D.W. Griffith
Bonnie and Clyde,1967,1h 51m,R,7.7,123K,86,Arthur Penn
A Time to Live and a Time to Die,1985,2h 18m,Not Rated,7.5,3.7K,,Hsiao-Hsien Hou
Amadeus,1984,2h 40m,PG,8.4,442K,87,Milos Forman
The King of Comedy,1982,1h 49m,PG,7.8,124K,73,Martin Scorsese
Tie Xi Qu: West of the Tracks,2002,9h 11m,,8.2,1.4K,,Wang Bing
A Touch of Zen,1971,3h 20m,Not Rated,7.5,7.6K,,King Hu
The Wages of Fear,1953,2h 36m,Not Rated,8.1,69K,85,Henri-Georges Clouzot
Kiss Me Deadly,1955,1h 46m,Approved,7.5,23K,,Robert Aldrich
Midnight Cowboy,1969,1h 53m,R,7.8,124K,79,John Schlesinger
Weekend,1967,1h 45m,Not Rated,6.9,16K,,Jean-Luc Godard
The Double Life of Véronique,1991,1h 38m,R,7.7,54K,86,Krzysztof Kieslowski
El,1953,1h 22m,Approved,7.9,6.7K,,Luis Buñuel
The Puppetmaster,1993,2h 22m,,7.1,2.1K,,Hsiao-Hsien Hou
